Tipo,Transferência,Id da Conta Financeira,Nome da Conta Financeira,Tipo de Repetiçao,Parcela,Quitado,Quitado Parcialmente,Conciliado,Observação/Descrição,Competência,Vencimento,Data Realizado,Data Conciliação,Valor (R$),Valor Previsto,Valor Realizado,Valor Rateio,Valor Retenção,Quantidade de Parcelas,Origem da Renegociação,Boleto Gerado,Inicial,Categoria,Departamento,Tipo Cliente/Fornecedor,Documento Cliente/Fornecedor,Cliente/Fornecedor,Numero da Nota Fiscal,Observação,Forma de Pagamento - Parcela,Forma de Pagamento - Quitação,Etiquetas,Número do Documento,Nome Vendedor,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA NO VALOR R$ 2940.00 (PARCELA UNICA NO DIA 20),Jan-24,20/02/2024,,,2940,2940,,2940,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,22.301.988/0005-95,PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA,28,NFS 0028 - Fornecimento de Licenças/Instalações em 2020 (VALORES ANTIGOS EM ABERTO),Transferência Bancária,,,28,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA NO VALOR R$ 915.00 (PARCELA UNICA NO DIA 25),Jan-24,25/02/2024,,,915,915,,915,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,98.227.986/0001-31,SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA,53,NFS 0053 - Locação em Janeiro/2024,Transferência Bancária,,,53,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL NO VALOR R$ 4952.19 (PARCELA UNICA NO DIA 25),Jan-24,25/02/2024,,,4952.19,4952.19,,4952.19,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,87.893.111/0001-52,PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL,61,NFS 0061 - Locação em Janeiro/2024,Transferência Bancária,,,61,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) Simples! Serviços Administrativos Ltda NO VALOR R$ 467.50 (PARCELA UNICA NO DIA 29),Feb-24,29/02/2024,,,467.5,467.5,,467.5,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,15.393.550/0001-95,Simples! Serviços Administrativos Ltda,77,NFS 0077 - Atendimento Local em 13/01/2023 - O.S. #2398,Boleto Bancário,,O.S. 2398,77,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 4495.83 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,4495.83,4495.83,,4495.83,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,,HPS - NFS 0151 - Manutenção em Janeiro/2024,Transferência Bancária,,NFS HPS,151,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 7387.28 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,7387.28,7387.28,,7387.28,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,69,NFS 0069 - Locação em Janeiro/2024,Transferência Bancária,,,69,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 440.00 (PARCELA UNICA NO DIA 29),Feb-24,29/02/2024,,,440,440,,440,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,84,NFS 0084 - Atendimento Local em 10/01/2023 - O.S. #2347,Transferência Bancária,,O.S. 2347,84,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH NO VALOR R$ 3850.00 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,3850,3850,,3850,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,11.055.682/0001-56,FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH,71,NFS 0071 - Locação em Janeiro/2024,Transferência Bancária,,,71,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 2011.88 (PARCELA UNICA NO DIA 29),Jan-24,29/02/2024,,,2011.88,2011.88,,2011.88,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,,SMS - NFS 0153 PHSUL - Manutenção em Janeiro/2024,Transferência Bancária,,NFS SMS,153,,
Receita,Não,4,Bradesco,Customizada,29,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 578.17 (PARCELA FIXA TODO DIA 29),Jan-24,29/02/2024,,,578.17,578.17,,578.17,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMSP - R.L. 007/2024 - Locação em Janeiro/2024,Transferência Bancária,,SMSP,72024,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 2134.85 (PARCELA UNICA NO DIA 30),Jan-24,29/02/2024,,,2134.85,2134.85,,2134.85,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,,HMIPV - NFS 0152 - Manutenção em Janeiro/2024,Transferência Bancária,,NFS HMIPV,152,,
Despesa,Não,4,Bradesco,Única,1,Não,Não,Não,Pagamento DO(A) LCD CONDOMÍNIOS NO VALOR R$ 1886.08 (PARCELA FIXA TODO DIA 11) (Resíduo),Mar-24,11/3/2024,,,123.68,123.68,,123.68,0,,Não,Não,Não,Condominio / Despesas Geral e Administrativas,Administração,Pessoa Juridica,73.210.825/0001-04,LCD CONDOMÍNIOS,,Valor residual gerado pela mov fin Pagamento DO(A) LCD CONDOMÍNIOS NO VALOR R$ 1886.08 (PARCELA FIXA TODO DIA 11),Boleto Bancário,,CONDOMINIO,,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 960.00 (PARCELA UNICA NO DIA 12),Feb-24,12/3/2024,,,960,960,,960,0,1,Não,Não,Não,Venda de Serviço / Venda de Serviço,Comercial,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,,NF 3596 - Venda GXPs Grandstream - PCO 009/2024,Transferência Bancária,,PCO 009/2024,3596,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL NO VALOR R$ 4952.19 (PARCELA UNICA NO DIA 25),Feb-24,25/03/2024,,,4952.19,4952.19,,4952.19,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,87.893.111/0001-52,PREFEITURA  MUNICIPAL SÃO LOURENÇO DO SUL,141,NFS 0141 - Locação em Fevereiro/2024,Transferência Bancária,,,141,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA NO VALOR R$ 915.00 (PARCELA UNICA NO DIA 25),Feb-24,25/03/2024,,,915,915,,915,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,98.227.986/0001-31,SOC PARA FUND E MANUT DO HOSPITAL DE CARIDADE STA RITA,134,NFS 0134 - Locação em Fevereiro/2024,Transferência Bancária,,,134,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 2135.51 (PARCELA UNICA NO DIA 29),Feb-24,29/03/2024,,,2135.51,2135.51,,2135.51,112.4,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,114,HMIPV - NFS 0114 - Manutenção em Fevereiro/2024,Transferência Bancária,,NFS HMIPV,114,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 4271.04 (PARCELA UNICA NO DIA 29),Feb-24,29/03/2024,,,4271.04,4271.04,,4271.04,224.79,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,113,HPS - NFS 0113 - Manutenção em Fevereiro/2024,Transferência Bancária,,NFS HPS,113,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE PORTO ALEGRE NO VALOR R$ 1911.29 (PARCELA UNICA NO DIA 29),Feb-24,29/03/2024,,,1911.29,1911.29,,1911.29,100.59,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,92.963.560/0001-60,MUNICIPIO DE PORTO ALEGRE,112,SMS - NFS 0112 - Manutenção em Fevereiro/2024,Transferência Bancária,,NFS SMS,112,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO HOSPITALAR GETULIO VARGAS NO VALOR R$ 7387.28 (PARCELA UNICA NO DIA 30),Feb-24,30/03/2024,,,7387.28,7387.28,,7387.28,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,13.183.513/0001-27,FUNDACAO HOSPITALAR GETULIO VARGAS,124,NFS 0124 - Locação em Fevereiro/2024,Transferência Bancária,,,124,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH NO VALOR R$ 3850.00 (PARCELA UNICA NO DIA 30),Feb-24,30/03/2024,,,3850,3850,,3850,0,1,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,11.055.682/0001-56,FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO - FSNH,131,NFS 0131 - Locação em Fevereiro/2024,Transferência Bancária,,,131,,
Receita,Não,4,Bradesco,Customizada,30,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 661.28 (COM PARCELAMENTO CUSTOMIZADO EM 0),Feb-24,30/03/2024,,,661.28,661.28,,661.28,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMOSU - R.L. 017/2024 - Locação em Fevereiro/2024,Transferência Bancária,,SMOSU,172024,,
Receita,Não,4,Bradesco,Customizada,30,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 319.16 (COM PARCELAMENTO CUSTOMIZADO EM 0),Feb-24,30/03/2024,,,319.16,319.16,,319.16,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMCEL - R.L. 016/2024 - Locação em Fevereiro/2024,Transferência Bancária,,SMCEL,162024,,
Receita,Não,4,Bradesco,Customizada,30,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 2739.51 (COM PARCELAMENTO CUSTOMIZADO EM 0),Feb-24,30/03/2024,,,2739.51,2739.51,,2739.51,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMGG - R.L. 015/2024 - Locação em Abril/2024,Transferência Bancária,,SMGG,152024,,
Receita,Não,4,Bradesco,Customizada,30,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 578.17 (COM PARCELAMENTO CUSTOMIZADO EM 0),Feb-24,30/03/2024,,,578.17,578.17,,578.17,0,,Não,Não,Não,Locação de Sistema de Teleinformática / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMSP - R.L. 014/2024 - Locação em Fevereiro/2024,Transferência Bancária,,SMSP,142024,,
Receita,Não,4,Bradesco,Customizada,10,Não,Não,Não,Recebimento DO(A) MUNICIPIO DE ESTEIO NO VALOR R$ 1620.83 (COM PARCELAMENTO CUSTOMIZADO EM 0),Feb-24,30/03/2024,,,1620.83,1620.83,,1620.83,0,,Não,Não,Não,Locação de Sistema de Teleinformática Ision / Venda de Serviço,Comercial,Pessoa Juridica,88.150.495/0001-86,MUNICIPIO DE ESTEIO,,SMS - R.L. 018/2024 - Locação em Fevereiro/2024,Transferência Bancária,,SMS,182024,,
Despesa,Não,4,Bradesco,Única,1,Não,Não,Não,Pagamento DO(A) CONSELHO REGIONAL ENGENHARIA E AGRONOMIA NO VALOR R$ 581.97 (PARCELA UNICA NO DIA 30),Mar-24,31/03/2024,,,581.97,581.97,,581.97,0,,Não,Não,Não,Anuidades Conselho / Despesas Geral e Administrativas,Service,Pessoa Juridica,92.695.790/0001-95,CONSELHO REGIONAL ENGENHARIA E AGRONOMIA,,CREA-RS anuidade PHSUL 2024,Dinheiro,,,,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) Fundacao De Saude Sapucaia Do Sul NO VALOR R$ 4080.00 (PARCELA UNICA NO DIA 31),Mar-24,31/03/2024,,,4080,4080,,4080,0,1,Não,Não,Não,Telefone IP / Venda de Produto,,Pessoa Juridica,13.183.513/0012-80,Fundacao De Saude Sapucaia Do Sul,,NF e 3603 - PCO 0010/24,Transferência Bancária,,,3603,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) MAXIFORJA COMP AUTOMOTIVOS LTDA NO VALOR R$ 1630.00 (PARCELA UNICA NO DIA 10),Mar-24,10/4/2024,,,1630,1630,,1630,0,1,Não,Não,Não,Contrato de Manutenção do Sistema de Teleinformática / Venda de Serviço,Service,Pessoa Juridica,88.303.375/0001-71,MAXIFORJA COMP AUTOMOTIVOS LTDA,137,NFS 137 - Manutenção em Março/2024,Transferência Bancária,,,137,,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) TK ELEVADORES BRASIL LTDA NO VALOR R$ 6710.00 (PARCELA UNICA NO DIA 10),Mar-24,10/4/2024,,,6710,6710,,6710,0,1,Não,Não,Não,Instalação de Equipamentos / Venda de Serviço,Service,Pessoa Juridica,90.347.840/0009-75,TK ELEVADORES BRASIL LTDA,212,NFS 0212 - Desinstalação/Instalação Central - PCO 004/2024,Transferência Bancária,,PCO 004/2024,212,,
Receita,Não,4,Bradesco,Customizada,2,Não,Não,Não,Recebimento DO(A) FARACO AZEVEDO E MURATT ADV EMPRESARIAL NO VALOR R$ 1946.26 (COM PARCELAMENTO CUSTOMIZADO EM 5),Mar-24,15/04/2024,,,1946.26,1946.26,,1946.26,0,5,Não,Não,Não,Venda de Serviço / Venda de Serviço,Comercial,Pessoa Juridica,05.270.771/0001-12,FARACO AZEVEDO E MURATT ADV EMPRESARIAL,,ENTRADA R$3.255,00    VENC 26/03/24  ; + 4 PARCELAS EM 20DIAS ; 40DIAS; 60DIAS ;90DIAS,Boleto Bancário,,PCO 011/2024,3605,
Receita,Não,4,Bradesco,Única,1,Não,Não,Não,Recebimento DO(A) CASA DOS RAROS NO VALOR R$ 350.00 (PARCELA UNICA NO DIA 17),Apr-24,17/04/2024,,,350,350,,350,0,1,Não,Não,Não,Atendimento Técnico Local / Venda de Serviço,Service,Pessoa Juridica,28.616.272/0001-30,CASA DOS RAROS,208,NFS 0208 - Atendimento Local 14/03/2024 #4731,Boleto Bancário,,O.S. 4731,208,,
